scope,subset,config,family,k,stat,n,mae,bias,rel_mae_vs_no_adjustment,coef,gamma
player,all_treated,no_adjustment,reference,,PTS,14709.0,5.589826342951238,-0.9811151019579102,0.9999999999999908,,
player,all_treated,no_adjustment,reference,,AST,14709.0,1.6779351410132193,-0.2693013864366746,0.9999999999999954,,
player,all_treated,no_adjustment,reference,,REB,14709.0,2.0707689423904747,-0.19295079658092465,1.0000000000000024,,
player,all_treated,no_adjustment,reference,,STL,14709.0,0.8166961308860845,-0.02436668992313823,1.000000000000001,,
player,all_treated,no_adjustment,reference,,BLK,14709.0,0.5914879546380537,-0.01110428688512275,1.0000000000000078,,
player,all_treated,no_adjustment,reference,,FG3M,14709.0,1.1097734380692177,-0.09754379806867876,1.0000000000000042,,
player,all_treated,no_adjustment,reference,,TOV,14709.0,1.0765830126638907,-0.053500535482011384,1.0000000000000024,,
player,all_treated,no_adjustment,reference,,FG3A,14709.0,1.795281744041356,-0.2581278121816635,0.9999999999999981,,
player,all_treated,no_adjustment,reference,,OREB,14709.0,0.9103546078042234,-0.035198631807387706,0.9999999999999967,,
player,all_treated,no_adjustment,reference,,POOLED,14709.0,,,0.9999999999999999,,
player,all_treated,P0_k0,P0,0,PTS,14709.0,5.7564354228071295,-0.011645242475404997,1.0298057702751235,,
player,all_treated,P0_k0,P0,0,AST,14709.0,1.716129618341129,-0.07537581294137619,1.022762785279554,,
player,all_treated,P0_k0,P0,0,REB,14709.0,2.142936134578833,0.008254073849245794,1.0348504319873826,,
player,all_treated,P0_k0,P0,0,STL,14709.0,0.8451764461944485,-0.0020142466529138627,1.0348725973238846,,
player,all_treated,P0_k0,P0,0,BLK,14709.0,0.603366904171877,-0.0015356626815627983,1.0200831638931633,,
player,all_treated,P0_k0,P0,0,FG3M,14709.0,1.1544142990562307,-0.006271404366778697,1.0402252022400933,,
player,all_treated,P0_k0,P0,0,TOV,14709.0,1.10922361450193,0.017877069883881307,1.030318704135296,,
player,all_treated,P0_k0,P0,0,FG3A,14709.0,1.8654312233673456,0.025392285744006742,1.0390743567458514,,
player,all_treated,P0_k0,P0,0,OREB,14709.0,0.940916937097897,0.0074177940687826715,1.0335718949864898,,
player,all_treated,P0_k0,P0,0,POOLED,14709.0,,,1.0317294340963155,,
