season,player_id,stat,game_index,actual,blended,clean,n_playoff_rows,prior_mpg
2024-25,1626156,PTS,0,9.0,18.240706048873903,19.106511878287264,5,32.69736842105263
2024-25,1626156,AST,0,5.0,6.371579960127482,6.727055314342192,5,32.69736842105263
2024-25,1626156,REB,0,1.0,3.166789244596164,3.2937449256945173,5,32.69736842105263
2024-25,1626156,STL,0,2.0,0.9247024594220798,0.9630016943767868,5,32.69736842105263
2024-25,1626156,BLK,0,0.0,0.46868480820023223,0.5024356666313671,5,32.69736842105263
2024-25,1626156,FG3M,0,1.0,3.040117674812317,3.15417946274136,5,32.69736842105263
2024-25,1626156,TOV,0,1.0,2.0900809014334683,2.177221222069257,5,32.69736842105263
2024-25,1626156,FG3A,0,7.0,7.460955460268562,7.606317730947085,5,32.69736842105263
2024-25,1626156,OREB,0,0.0,0.36734755237315503,0.39078329626884106,5,32.69736842105263
2024-25,1626156,PTS,1,5.0,18.240706048873903,19.106511878287264,5,32.69736842105263
2024-25,1626156,AST,1,5.0,6.371579960127482,6.727055314342192,5,32.69736842105263
2024-25,1626156,REB,1,2.0,3.166789244596164,3.2937449256945173,5,32.69736842105263
2024-25,1626156,STL,1,1.0,0.9247024594220798,0.9630016943767868,5,32.69736842105263
2024-25,1626156,BLK,1,1.0,0.46868480820023223,0.5024356666313671,5,32.69736842105263
2024-25,1626156,FG3M,1,1.0,3.040117674812317,3.15417946274136,5,32.69736842105263
2024-25,1626156,TOV,1,2.0,2.0900809014334683,2.177221222069257,5,32.69736842105263
2024-25,1626156,FG3A,1,3.0,7.460955460268562,7.606317730947085,5,32.69736842105263
2024-25,1626156,OREB,1,1.0,0.36734755237315503,0.39078329626884106,5,32.69736842105263
2024-25,1626156,PTS,2,16.0,18.240706048873903,19.106511878287264,5,32.69736842105263
2024-25,1626156,AST,2,5.0,6.371579960127482,6.727055314342192,5,32.69736842105263
2024-25,1626156,REB,2,4.0,3.166789244596164,3.2937449256945173,5,32.69736842105263
2024-25,1626156,STL,2,2.0,0.9247024594220798,0.9630016943767868,5,32.69736842105263
2024-25,1626156,BLK,2,0.0,0.46868480820023223,0.5024356666313671,5,32.69736842105263
