part,scope,subset,config,stat,n,mae,bias,rel_mae,dir_acc,dir_bal_acc,coverage,pooled_rel_mae
player,pooled,all,base,PTS,70944,4.683736917180932,-0.41579299284287785,1.0,0.5146973327850488,0.515395702587524,0.9940657419936851,1.0
player,pooled,all,base,AST,70944,1.3679129236952579,-0.12617921838537316,1.0,0.5148577238683069,0.5163678309981389,0.9842833784393324,1.0
player,pooled,all,base,REB,70944,1.9307155256425512,-0.13168811116954177,1.0,0.5057587593009665,0.5068857776633038,0.9888644564727108,1.0
player,pooled,all,base,STL,70944,0.7138789733757293,-0.01591074202373429,1.0,0.5098587468308584,0.5134446022418817,0.97295049616599,1.0
player,pooled,all,base,BLK,70944,0.5191129639295158,-0.008792248079877905,1.0,0.500784553999731,0.5090315407836291,0.9432369192602617,1.0
player,pooled,all,base,FG3M,70944,0.889994298532199,-0.04653368018290801,1.0,0.5014183733906917,0.5047439077361501,0.9043470906630582,1.0
player,pooled,all,base,TOV,70944,0.8992427429080239,-0.016632543898378403,1.0,0.49241585553462824,0.4947544320700727,0.9803929860171403,1.0
player,pooled,all,base,FG3A,70944,1.5280796178379124,-0.1153809900438102,1.0,0.5043335815338794,0.5060252198685069,0.946521199819576,1.0
player,pooled,all,base,OREB,70944,0.8553996017732493,-0.027513155249541482,1.0,0.5009512279488066,0.5045884163831416,0.9780108254397835,1.0
player,2023-24,all,base,PTS,23614,4.65711442810806,-0.34006678081352004,1.0,0.5086793737236215,0.5092315670555584,0.9953417464216143,1.0
player,2023-24,all,base,AST,23614,1.3747534452754409,-0.13396463182633608,1.0,0.5095765696126427,0.5107046512873321,0.9861099347844499,1.0
player,2023-24,all,base,REB,23614,1.9174447278470539,-0.11560530502843953,1.0,0.5077212644907387,0.5086517919268359,0.989963580926569,1.0
player,2023-24,all,base,STL,23614,0.6856215219762918,-0.0200041780976568,1.0,0.5095013947001394,0.512138169068504,0.9716270009316507,1.0
player,2023-24,all,base,BLK,23614,0.5312280343506057,-0.010804239638415817,1.0,0.5027597038366615,0.5082537799728113,0.94371982722114,1.0
player,2023-24,all,base,FG3M,23614,0.8691139064146054,-0.042920653151708954,1.0,0.49793737108569286,0.5002406568336389,0.9033624121283984,1.0
player,2023-24,all,base,TOV,23614,0.8822615365314147,-0.01241808747164296,1.0,0.49377969762419005,0.4953461912995357,0.9803506394511731,1.0
player,2023-24,all,base,FG3A,23614,1.494020005523894,-0.10609679813497878,1.0,0.497058561369106,0.49842408612027256,0.9501990344710765,1.0
player,2023-24,all,base,OREB,23614,0.8409955697683104,-0.015285801633749558,1.0,0.49920076035771377,0.5019154176776486,0.9802235961717625,1.0
player,2024-25,all,base,PTS,23528,4.705480114696994,-0.5498443309725535,1.0,0.5158713205451361,0.5172039985371684,0.9948571914314859,1.0
player,2024-25,all,base,AST,23528,1.3620182409538168,-0.14337937996950378,1.0,0.5163633219488998,0.5196417525071129,0.9831264875892554,1.0
player,2024-25,all,base,REB,23528,1.9535952617844003,-0.14219582901185512,1.0,0.5030490423430387,0.5061489722912325,0.9897143828629718,1.0
player,2024-25,all,base,STL,23528,0.724487408550194,-0.014956855331296185,1.0,0.5091861226271002,0.5180166818973816,0.9739459367562053,1.0
player,2024-25,all,base,BLK,23528,0.5182560813397338,0.0014341497911097047,1.0,0.4951903717954454,0.5186792560982125,0.9499744984699082,1.0
player,2024-25,all,base,FG3M,23528,0.9012763520472031,-0.06259279472123944,1.0,0.5023625023625024,0.5104029238567457,0.8995239714382863,1.0
player,2024-25,all,base,TOV,23528,0.9050698776811889,-0.024720874273291147,1.0,0.49067059180051087,0.4971473144306723,0.981766405984359,1.0
player,2024-25,all,base,FG3A,23528,1.5440984964582563,-0.15070455833265545,1.0,0.5107748944958247,0.5142836159140507,0.9467018021081265,1.0
player,2024-25,all,base,OREB,23528,0.8636616897370863,-0.04177160424281918,1.0,0.5011098054576315,0.5102680952943113,0.9765810948656919,1.0
player,2025-26,all,base,PTS,23802,4.688656230928147,-0.35841289400018195,1.0,0.5195239708622734,0.5192795057922942,0.9920174775228973,1.0
