stat,model,coverage_50,width_50,coverage_80,width_80,brier,log_loss,ece,coverage_80_2023-24,brier_2023-24,coverage_80_2024-25,brier_2024-25,coverage_80_2025-26,brier_2025-26
PTS,shipped_0.6,0.2940362776305185,5.190909051399151,0.5260034362786743,9.862765286063334,0.24358274603881877,0.6866805986626586,0.07469556707148091,0.5253014429729196,0.2430666503054469,0.5201012658227848,0.24422219032859424,0.5326076000403185,0.24345939748241513
PTS,normal_k,0.5260354699352788,9.867665150382976,0.8244075566803676,18.681871564726517,0.23620432227450575,0.6652526732225854,0.00908797039337167,0.8227910654279502,0.23608143923326202,0.8246075949367089,0.236593946061418,0.8258240096764439,0.23593758152883723
PTS,empirical_z,0.49992398420006817,9.316220015610943,0.7999523707772637,17.886409015999337,0.23624898724139742,0.6653781125660382,0.010132826106288245,0.7965012848389009,0.23605708911839443,0.8020253164556962,0.23666027390345387,0.8013305110371939,0.236029598702344
PTS,nb_pool,0.47148334967471595,8.81773177778633,0.7538548241248543,16.81795014015619,0.2382044175031607,0.6698945577332406,0.04028042351912501,0.7669499901166238,0.2381002698523962,0.7406582278481013,0.23923684418897287,0.7539562544098377,0.23727613846811307
PTS,nb_std,0.483520309932782,8.944327534266021,0.7794630772238479,17.103206079633022,0.23950630685880847,0.6722762516658417,0.04705306808389694,0.7797983791263096,0.23890707231475222,0.7778227848101266,0.24068218347240244,0.7807680677351073,0.23892966478927072
PTS,nb_shrunk,0.4706057580661486,8.688525641766292,0.761629092023968,16.58093841343639,0.23844354882813526,0.6701309824896485,0.04183288345145549,0.7687289978256573,0.23811127060568021,0.7566582278481012,0.23947215816366216,0.7595000503981454,0.23774721771506352
AST,shipped_0.6,0.2892040282934611,1.555122019969879,0.5201098862379517,2.9539396287164554,0.1751622758986727,0.599676526923147,0.09611874969095703,0.5115681233933161,0.1761444620770986,0.5269873417721519,0.17439952003474168,0.521774193548387,0.17494284558417778
AST,normal_k,0.5285700115289753,3.007395654538105,0.8426200812574139,5.559148680288263,0.16539830529032765,0.5066038156406364,0.0212584195320744,0.8340913585129524,0.16629738582218165,0.8486075949367089,0.1648062887113001,0.8451612903225807,0.1650912413375012
AST,empirical_z,0.5000513185650645,2.8155902199747924,0.8000984915693232,5.3357927076958545,0.16500910734291463,0.504349735773716,0.011849449627427905,0.7985960055368796,0.16593119698966133,0.7968607594936709,0.16431919615075524,0.8048387096774193,0.16477692888832732
AST,nb_pool,0.4997684524331967,2.766200540699858,0.8099174783169433,5.2275774529956625,0.165047248158783,0.5024635868592738,0.023149065043571546,0.8060114692505438,0.16621636305332024,0.8113417721518987,0.16458507438975198,0.8123991935483871,0.16434030703327673
AST,nb_std,0.503244249373664,2.7942705496495033,0.8194175512099321,5.286370535974814,0.16608106968829414,0.5046204135742469,0.02764515870496619,0.8147122800079099,0.16710395519829066,0.8204556962025317,0.16549605859193184,0.8230846774193549,0.16564319527465987
AST,nb_shrunk,0.4943331261134971,2.7210365531266256,0.8047775455559983,5.139439322381087,0.16519486343400988,0.5025899056620758,0.023079995817707893,0.8037373937116867,0.16630002870512142,0.8023291139240506,0.16466532214335075,0.808266129032258,0.1646192394535575
REB,shipped_0.6,0.3006494185312493,1.983616983407875,0.5330066015627207,3.7689229150903087,0.18543583455681012,0.6017414876290125,0.09419934911558181,0.5309349673848587,0.18473026702327472,0.5319493670886076,0.1844076376282999,0.5361354702146961,0.18716959901885583
REB,normal_k,0.5201236419541804,3.6655660832444603,0.8240328811345773,6.938731321115536,0.1758871397246462,0.5302151612265805,0.019315131335587456,0.8267444158924688,0.1751811084581454,0.8165063291139241,0.17473123840514915,0.828847898397339,0.17774907231064402
REB,empirical_z,0.4998831014993637,3.497665627260749,0.7996217925468301,6.6626110197438635,0.175461774789592,0.5288383489867348,0.007311687796598447,0.802431310535679,0.17485986640617876,0.7874430379746835,0.17428045119667498,0.808991029130128,0.17724500676592217
REB,nb_pool,0.5006446502294544,3.4639640987550426,0.7993022825106549,6.578263613436019,0.1749212177140924,0.5259402480531105,0.011076455330660486,0.8028266455821309,0.1743925669156439,0.7997974683544303,0.17376336156078692,0.7952827335954037,0.1766077246658463
REB,nb_std,0.510063182524275,3.496105549946733,0.8086506348807898,6.647786147989923,0.17550260934758444,0.5274980196779987,0.013703832969220384,0.8121170191737498,0.1748587704939368,0.8012151898734178,0.17436394847429407,0.8126196955952021,0.17728510907452247
REB,nb_shrunk,0.4988896537071829,3.418172003029659,0.7970293663442312,6.491328433263131,0.1750088461267506,0.5261188675326226,0.011049148519208449,0.7998616327337419,0.17439792973379473,0.7947341772151899,0.1739238091510278,0.7964922890837617,0.1767047994954293
STL,shipped_0.6,0.26822601589356226,0.7976168640929014,0.4749872784557278,1.500705736956701,0.17814223755124833,0.5810537895217147,0.102569228854287,0.4576489214328122,0.17789238930659454,0.4846551200243087,0.1777473045780313,0.4826577939100625,0.17878701876911907
STL,normal_k,0.4603705516389576,1.4693177244426348,0.879199722110609,2.3698427445625403,0.16548640711192164,0.49270627348056123,0.0407063235511023,0.8823471205224619,0.16574670000986627,0.8797731186063,0.16513066521809427,0.8754789272030651,0.1655818561078044
STL,empirical_z,0.499204086735757,1.3845533761464495,0.7986545140446694,2.3919766348763996,0.164047591628869,0.4877486790324614,0.014344304030437217,0.821294280625371,0.16410446172771953,0.790438569836929,0.16414332485873345,0.784230691671708,0.16389498830015403
STL,nb_pool,0.4851942047888478,1.3935171651074796,0.8977645590030257,2.408311454851581,0.16392519026502658,0.4844134149246724,0.016203187726851465,0.9008509796160696,0.16448669561964346,0.8988149498632635,0.16368611392317153,0.8936277475297439,0.1636027612522647
STL,nb_std,0.5028125960513253,1.3893581001465414,0.8979024147048369,2.4322453394219328,0.16467959550741718,0.4862712511196586,0.01934078283075457,0.9004551751434792,0.16515189509089628,0.8994226678821027,0.16461215021248357,0.8938294010889292,0.16427474121887167
STL,nb_shrunk,0.491961088149717,1.389480526222994,0.8971935635351515,2.4122125720242367,0.16414840712524364,0.4849109069213771,0.01776645549108771,0.9004551751434792,0.16465310419294496,0.8973969411526385,0.16396168619730717,0.8937285743093366,0.16383043098547884
BLK,shipped_0.6,0.20335252421866332,0.5866599688557406,0.6350160845356223,1.0509680443971154,0.14785706009139002,0.4966161771730975,0.08121938433695017,0.6291875626880642,0.1533185539586324,0.6467257001647446,0.14299671065814645,0.629134990754058,0.1472559156573913
BLK,normal_k,0.6274082996473259,1.043244910807558,0.8783858290619477,1.6402981392375684,0.14182694383954864,0.42804662681137096,0.05680617588837422,0.8730190571715145,0.1465663425022405,0.8934308072487644,0.13803468305550945,0.868707622765564,0.140879805960896
BLK,empirical_z,0.4985276821361777,0.8358188402955635,0.7994013345383316,1.692718656517534,0.13890981729215982,0.4201679243614788,0.028417857587880225,0.7956870611835507,0.14464425299089723,0.8136326194398682,0.13358206137738915,0.788884322991576,0.13850313750819312
BLK,nb_pool,0.6680079931140644,0.9440499358601034,0.8997661194300454,1.6876345213149495,0.13680619694019286,0.4124349777158746,0.01520447383692789,0.8939819458375126,0.1421800397683285,0.9068163097199341,0.13185561136770732,0.8985001027326895,0.1363829396845428
BLK,nb_std,0.6710357194342441,0.9322194062141577,0.8990231289736297,1.693087897166757,0.13727866060684826,0.4139492485674221,0.015347591563839373,0.892678034102307,0.14280710858234694,0.9066103789126854,0.13216014943934723,0.8977809739058968,0.13686872379885065
BLK,nb_shrunk,0.6685695762710037,0.9383264673437561,0.8988912483419907,1.684625346441016,0.1369726820744809,0.41295607337176565,0.015936581648919486,0.8920762286860582,0.14238346232132107,0.9069192751235585,0.13193047525283966,0.8976782412163551,0.13660410864928205
FG3M,shipped_0.6,0.29411771526756936,1.1016186861022463,0.5278380615573222,2.084430660326397,0.16022041345589058,0.5640977950451341,0.09222737741667397,0.5353272196748645,0.15829373508974048,0.523683373953587,0.16064654709007084,0.524503591043515,0.16172095818786045
FG3M,normal_k,0.5239697938636739,2.0661023093019892,0.8563527422933904,3.6585545771951793,0.15097745304526414,0.4674483929770837,0.024545630201861877,0.8570237598999583,0.14944231879134195,0.8562043022146869,0.15177681752835395,0.855830164765526,0.1517132228160965
FG3M,empirical_z,0.500179326627743,1.9238771698820896,0.8001161731817649,3.5426301240532685,0.1504383880026232,0.46543668235017116,0.013606418063004286,0.7986661108795331,0.1487112559488539,0.7977111370138815,0.15150690388797075,0.80397127165188,0.151097004171045
FG3M,nb_pool,0.5169298960165184,1.9259025518908064,0.8319382271220226,3.5889333420083265,0.14996773795667365,0.4616915653102454,0.011437354627159448,0.8308670279283035,0.14820583826782166,0.8298187983469323,0.15131791419155793,0.8351288550908322,0.15037946141064135
FG3M,nb_std,0.5184175635868661,1.9324042058935085,0.8384273388568279,3.608066539902183,0.15095043841618852,0.4638446452647,0.016773277729827188,0.8377448937057107,0.14905936855399934,0.8361767510861503,0.1525710295964664,0.8413603717786228,0.15122091709809984
FG3M,nb_shrunk,0.5132682997168506,1.9108290384231161,0.830880562435345,3.558377826727456,0.15019541484318563,0.4620439694203535,0.013762644799549905,0.8304501875781576,0.14837705846504418,0.8267457878563103,0.15162528838724199,0.8354457118715674,0.15058389767727068
TOV,shipped_0.6,0.2990963699988194,1.0455674053641486,0.5124140848372898,1.9831262926414037,0.1591682169314481,0.555066314815547,0.0916526566281927,0.5083020359754892,0.16066304143226903,0.5224349235288159,0.15833085212219436,0.5065052950075642,0.1585107572398809
TOV,normal_k,0.49836287258378703,1.9206052220456324,0.8475696967674358,3.4278941165469146,0.14962006022731633,0.462819467717998,0.02127002561292661,0.847598339592805,0.15067704004598453,0.8576926972551403,0.14944531293741356,0.837418053454362,0.14873782769855093
TOV,empirical_z,0.5003685748430589,1.8779434844092908,0.80011396456262,3.3101445915815675,0.1492885555965082,0.4617752642600666,0.01315156273653034,0.7962047835540621,0.1503012313486992,0.8099868327762585,0.14925792084553285,0.7941502773575391,0.1483065145952925
TOV,nb_pool,0.4946982409471823,1.8387302565407875,0.8426374115196155,3.3843356683115786,0.14863454310460356,0.45629558989079505,0.008535698139193927,0.838209132239573,0.1496275382032827,0.8430061784665248,0.1488692886589382,0.8466969238527483,0.14740680245158974
TOV,nb_std,0.5023671844053615,1.8758186633570568,0.8529044027084111,3.4631610234827668,0.14952614825768643,0.45831113476950974,0.012890198782547692,0.8489820122553864,0.1504343285534853,0.8567811202268814,0.14994237289599316,0.8529500756429652,0.14820174332358077
TOV,nb_shrunk,0.49644371257863956,1.8516773342488675,0.8458479181081139,3.4102587496991172,0.14893762952139647,0.4568666125267202,0.0097047714436973,0.8415694801344139,0.1498604507944091,0.8472602045983997,0.14922517549411676,0.848714069591528,0.14772726227566352
FG3A,shipped_0.6,0.3067684604489513,1.7163478547294702,0.5407649084675439,3.257439470489158,0.17430232913774424,0.5851540863794347,0.0916132054077106,0.5465128152762178,0.1731153865825802,0.5320325542570952,0.17574293331426094,0.5437493558693187,0.17404866751639156
FG3A,normal_k,0.5402291629572092,3.256384052137102,0.8327672865383243,6.142338307900171,0.1651859913665145,0.5037444604102936,0.02067979171923578,0.8351883998774635,0.16416965559894475,0.8251252086811353,0.1663177146742918,0.8379882510563743,0.16507060382630698
FG3A,empirical_z,0.49877562520174434,2.955552126672939,0.7998348232323828,5.787561297512337,0.16471768896057684,0.5014333750860082,0.009764338079549122,0.8006739507811702,0.16370183448087453,0.7937186978297162,0.16596823395809882,0.805111821086262,0.16448299844275718
FG3A,nb_pool,0.5243312241780199,3.0650602507913,0.8128312870727387,5.805909375476095,0.16421060671004375,0.49873475160520697,0.012960170609380275,0.8071071173287042,0.1633595799980008,0.8180300500834724,0.16557585986950812,0.8133566938060394,0.16369638026262237
FG3A,nb_std,0.5355419735832503,3.149230850797037,0.8284063185510141,5.976750064250004,0.1646889738181151,0.49959873845487324,0.016560270368659355,0.8257939344429694,0.16360993108926017,0.8268989983305509,0.16624464442956277,0.8325260228795218,0.1642123459355224
FG3A,nb_shrunk,0.5238628290194535,3.0634904843792907,0.8151793761609932,5.805616616476716,0.1642114775029729,0.49838529072747795,0.013348212964876753,0.8117022362912284,0.16322937468004556,0.8160475792988314,0.16572135907851526,0.8177883128929198,0.16368369875035785
OREB,shipped_0.6,0.2307537256353054,0.8868261949923787,0.5351762810637773,1.6574411585663513,0.1720223951313411,0.5694979022627652,0.09842924939633046,0.5565114209433403,0.17088444637864925,0.5312468245097043,0.17197384838487592,0.5177705977382876,0.1732088906304982
OREB,normal_k,0.5161173163970534,1.6168652921083346,0.8755047395627922,2.699545537470891,0.16175964550780655,0.48548898422138836,0.045271009213133345,0.884406209828933,0.16149636735942446,0.8704399959353725,0.16179234350389538,0.871668012924071,0.16199022566009982
OREB,empirical_z,0.5001770368014792,1.4740292750969275,0.7995556005227645,2.635405846894465,0.15943074591128278,0.4788489540410475,0.018077395953145583,0.8255710471670128,0.1581972423668736,0.7927039934965959,0.15962757714056172,0.780391760904685,0.160467418226413
OREB,nb_pool,0.538332065018014,1.5070135176254151,0.8815267192908333,2.6999039790365544,0.15865658939929114,0.47411336248760527,0.012162437714843,0.8868782754869969,0.1573009362277823,0.8774514785082816,0.15894405549953092,0.8802504038772213,0.1597247764705602
OREB,nb_std,0.5452235503475493,1.4923559620588611,0.8812097830711484,2.707844525496157,0.15931954056212075,0.47611938356948585,0.015034670891656929,0.8886581627608029,0.15793810353791504,0.8767401686820445,0.15953249669374694,0.8782310177705978,0.16048802145470034
OREB,nb_shrunk,0.5389469772353005,1.4930763531695588,0.8784718127950816,2.684134456622927,0.15879610089140303,0.47460345815523164,0.012899750674757864,0.8849995055868684,0.1574083807221792,0.8749110862717203,0.15904863704862474,0.8755048465266559,0.15993128490340516
