stat,base_rate_above,n_games,n_scored,evaluation,season,cutoff,n_calls,coverage,accuracy,balanced_accuracy,level_only_accuracy_same_games,level_only_balanced_accuracy,majority_accuracy_same_games,shipped,acc_ci_lo,acc_ci_hi,share_below_calls,accuracy_above_calls,accuracy_below_calls,lift_vs_level_only,lift_ci_lo,lift_ci_hi
BLK,0.29972267536704733,63161,61300,all_calls_loso,pooled,0.0,63161,1.0,0.6922512234910277,0.5118435417766637,0.692300163132137,0.510555360755546,0.7002773246329527,False,,,,,,,,
BLK,0.29972267536704733,63161,61300,strong_lean_loso,pooled,0.0,63161,1.0,0.6922512234910277,0.5118435417766637,0.692300163132137,,0.7002773246329527,False,0.6834446501198259,0.7007166627140434,0.9551386623164764,0.41054545454545455,0.7054824935952178,-4.893964110930238e-05,-0.0012205526319071097,0.001277109242529647
BLK,0.29972267536704733,21032,20384,strong_lean_loso,2023-24,0.0,21032,1.0,0.6797978806907379,0.5101868630400821,0.6801903453689168,,0.6907868916797488,False,0.6644550461620865,0.6954040433038079,0.9483908948194663,0.3935361216730038,0.6953755431409062,-0.0003924646781788832,-0.001884176732709994,0.0011034489676965131
BLK,0.29972267536704733,20928,20396,strong_lean_loso,2024-25,0.0,20928,1.0,0.7003333987056286,0.5135872985984383,0.699745048048637,,0.7069523435967837,False,0.6858166068442874,0.715162251411005,0.9568052559325357,0.42338251986379116,0.7128362797847809,0.0005883506569915875,-0.0018389404917708325,0.0030187254390463656
BLK,0.29972267536704733,21201,20520,strong_lean_loso,2025-26,0.0,21201,1.0,0.696588693957115,0.5116028036632037,0.6969298245614035,,0.7030701754385965,False,0.6813111178543751,0.7113361090359108,0.9601851851851851,0.4186046511627907,0.7081155154037456,-0.0003411306042885309,-0.002638469546872679,0.0019819697502798357
BLK,0.29972267536704733,63161,61300,shipped_cutoff_on_loso,pooled,0.0,63161,1.0,0.6922512234910277,0.5118435417766637,0.692300163132137,,0.7002773246329527,False,0.6837764029689135,0.7005983792107139,0.9551386623164764,0.41054545454545455,0.7054824935952178,-4.893964110930238e-05,-0.0012758469074862278,0.0012408836397070628
FG3M,0.41081090395285524,63161,58034,all_calls_loso,pooled,0.0,63161,1.0,0.5915153186063342,0.5224762964259094,0.5852431333356308,0.5006070367335392,0.5891890960471448,False,,,,,,,,
FG3M,0.41081090395285524,63161,58034,strong_lean_loso,pooled,0.06,44235,0.7003530659742563,0.6219332179578541,0.5150302867320886,0.6151379415657131,,0.6154942481930163,False,0.6131708936637361,0.6312536664669057,0.9662781227730836,0.5954716981132075,0.6228566913372139,0.006795276392140948,0.0043440575648167005,0.009207369402493974
FG3M,0.41081090395285524,21032,19324,strong_lean_loso,2023-24,0.06,14172,0.6738303537466718,0.632561851556265,0.5138016193449608,0.6276935355147646,,0.627294493216281,False,0.6160662835086333,0.6493373988712252,0.9699920191540303,0.5877659574468085,0.6339476715484614,0.004868316041500398,0.0009737218272025588,0.00920379220903392
FG3M,0.41081090395285524,20928,19092,strong_lean_loso,2024-25,0.045,15713,0.7508123088685015,0.6042220147914124,0.5158219293408657,0.5956774610468873,,0.5968981115818195,False,0.5897683613046294,0.6200232300282654,0.9592159115387378,0.5897887323943662,0.6048356912942585,0.008544553744525007,0.004413352229973083,0.012907558855006145
FG3M,0.41081090395285524,21201,19618,strong_lean_loso,2025-26,0.06,14350,0.6768548653365407,0.6307752239968836,0.5149127842044717,0.6239968835216205,,0.6241527074405921,False,0.614884186542081,0.646782546842231,0.9703155434359174,0.6115485564304461,0.6313634173759435,0.006778340475263045,0.0030248876624251212,0.01098332974149613
FG3M,0.41081090395285524,63161,58034,shipped_cutoff_on_loso,pooled,0.06,42534,0.6734218900904039,0.6249800606157282,0.5142595674195908,0.6184931142659648,,0.6186526293401393,False,0.6156785880086894,0.6340035060271163,0.9699579943638007,0.6053097345132743,0.6255892994189234,0.006486946349763434,0.0042431309132051395,0.008982186002737865
