N,k,stat,n_cases,mae,directional_acc,directional_n,rel_mae_vs_season_only
10,season_only,STL,25662,0.8167577552355558,51.09116786589705,25294,1.0
10,season_only,BLK,25662,0.5957510432693982,50.39942768570407,25161,1.0
10,season_only,FG3M,25662,1.0936852163219286,50.23569302017863,24184,1.0
10,season_only,TOV,25662,1.0657480596469198,49.13007456503728,25347,1.0
10,season_only,FG3A,25662,1.7580600553031136,50.717799822566334,24798,1.0
10,season_only,OREB,25662,0.9042203425483849,50.00789328281632,25338,1.0
10,season_only,POOLED,25662,,50.59318368391784,226574,0.9999999999999991
10,2,PTS,25662,5.819119238311598,51.238377998281116,25598,1.0579519133825563
10,2,AST,25662,1.7242119148546071,52.295307284508155,25465,1.0470928781036588
10,2,REB,25662,2.155849615428441,51.72129861982434,25504,1.0455701096881742
10,2,STL,25662,0.8449036620255063,52.7630851819689,25334,1.034460532036005
10,2,BLK,25662,0.6103070196868812,53.98889770023791,25220,1.0244329851905953
10,2,FG3M,25662,1.1403929835789608,52.70850536746491,24220,1.0427067739053022
10,2,TOV,25662,1.10983373357871,52.47567652735652,25387,1.0413659434166793
10,2,FG3A,25662,1.8531959918461274,53.497362380703095,24833,1.0541141562576548
10,2,OREB,25662,0.9363557305854617,52.217408428515164,25390,1.0355393331967173
10,2,POOLED,25662,,52.53909434195047,226951,1.0425816250197033
10,4,PTS,25662,5.656537787286218,51.30088288147512,25598,1.02839359877364
10,4,AST,25662,1.6803965868525075,52.37590323594093,25464,1.0204843635077931
10,4,REB,25662,2.104210822179672,51.80755959849436,25504,1.0205257010546203
10,4,STL,25662,0.8284673557375046,52.73150706560353,25334,1.0143366872574986
10,4,BLK,25662,0.6025952648139763,53.95503746877603,25221,1.0114883920421154
10,4,FG3M,25662,1.1153354693568396,52.6878612716763,24220,1.0197956895748495
10,4,TOV,25662,1.0848899436167985,52.30629849923189,25387,1.0179609841149702
10,4,FG3A,25662,1.801193263033857,53.47722788225345,24833,1.024534547383995
10,4,OREB,25662,0.9184250139132545,52.185899960614414,25390,1.0157093030276627
10,4,POOLED,25662,,52.53072249075792,226951,1.0192476963041281
