row_type,subset,variant,mpg_source,quality,strength,fold,stat,n_cases,n_moved,mae,bias,rel_mae_vs_reference,fitted_s,ci_lo,ci_hi
eval,all_treated,pit_q_s0.20,pit,True,0.2,,AST,16101,16101.0,1.6422888504611601,0.0015202536456201989,1.0064117461248026,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,REB,16101,16101.0,2.074481207323707,0.13002252639837678,1.0114204770112347,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,STL,16101,16101.0,0.8179236820131361,0.040138125888228036,1.0069484758518998,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,BLK,16101,16101.0,0.6084640908008252,0.012930788430931773,1.0091780638354806,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,FG3M,16101,16101.0,1.0962111319529315,0.03849224698814735,1.0103569715115661,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,TOV,16101,16101.0,1.0714953715578623,0.07131284598959446,1.0105817021107433,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,FG3A,16101,16101.0,1.7717522906985061,0.1187230137681784,1.0120052815501275,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,OREB,16101,16101.0,0.9162498381032111,0.04207576326949992,1.009536678175838,,,
eval,all_treated,pit_q_s0.20,pit,True,0.2,,POOLED,16101,16101.0,,,1.0096036131757176,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,PTS,16101,16101.0,5.602371692115529,0.781335112550938,1.0266318503087821,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,AST,16101,16101.0,1.659378483085273,0.11589773585187972,1.0168844513404747,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,REB,16101,16101.0,2.1064010674991254,0.2982739243190624,1.0269831150774544,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,STL,16101,16101.0,0.823637236540722,0.07138085805231992,1.013982451208976,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,BLK,16101,16101.0,0.6132166470261198,0.03133512824895673,1.0170604936488812,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,FG3M,16101,16101.0,1.1080017415337011,0.09431350110145921,1.021224152331997,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,TOV,16101,16101.0,1.0830596846193152,0.12850303332341403,1.021488593066691,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,FG3A,16101,16101.0,1.8012770200979291,0.2702700798562021,1.0288694799177078,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,OREB,16101,16101.0,0.9247480666065473,0.08062630423719669,1.0189001432667544,,,
eval,all_treated,pit_q_s0.35,pit,True,0.35,,POOLED,16101,16101.0,,,1.0213360811297465,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,PTS,16101,16101.0,5.731961048658678,1.2798433642373537,1.0503790360007725,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,AST,16101,16101.0,1.6842957400753111,0.23027521805813927,1.0321540064549375,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,REB,16101,16101.0,2.150693705627453,0.46652532223974813,1.0485781437649564,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,STL,16101,16101.0,0.8305223116745917,0.10262359021641186,1.0224586893527499,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,BLK,16101,16101.0,0.618326084623909,0.049739468066981686,1.0255348348962647,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,FG3M,16101,16101.0,1.1221113426856006,0.15013475521477104,1.0342287036210103,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,TOV,16101,16101.0,1.097191417943409,0.18569322065723362,1.0348169484618936,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,FG3A,16101,16101.0,1.8425543655678724,0.4218171459442259,1.0524466423931027,,,
eval,all_treated,pit_q_s0.50,pit,True,0.5,,OREB,16101,16101.0,0.9348814036981803,0.11917684520489348,1.0300651934974872,,,
